Cycle_Time,Area,Dynamic_Power,Leakage_Power,Total_Power,Latency,Performance
20,29040.816545,415.4955,23.6353,439.1308,900,0.00
19.9,29040.816545,417.5994,23.6342,441.2336,900,0.00
19.8,29040.816545,419.7699,23.6390,443.4089,900,0.00
19.7,29051.000944,422.1900,23.6648,445.8548,900,0.00
19.6,29061.185342,424.4953,23.6764,448.1717,900,0.00
19.5,29067.974947,426.5959,23.6132,450.2091,900,0.00
19.4,29084.948946,428.9317,23.6359,452.5676,900,0.00
19.3,29071.369749,431.0640,23.6146,454.6786,900,0.00
19.2,29095.133345,433.2643,23.6387,456.9030,900,0.00
19.1,29098.528146,435.7268,23.6460,459.3728,900,0.00
19.0,29098.528146,438.0479,23.6449,461.6928,900,0.00
18.9,29081.554142,439.9483,23.5664,463.5147,900,0.00
18.8,29112.107337,442.8021,23.6119,466.4140,900,0.00
18.7,29101.922939,445.1584,23.6085,468.7669,900,0.00
18.6,29084.948943,447.3024,23.5887,470.8911,900,0.00
18.5,29091.738540,449.8667,23.6126,473.4793,900,0.00
18.4,29122.291737,452.5230,23.6290,476.1520,900,0.00
18.3,29118.896938,454.8883,23.5759,478.4642,900,0.00
18.2,29125.686539,457.3854,23.5859,480.9713,900,0.00
18.1,29125.686539,459.9080,23.5860,483.4940,900,0.00
18.0,29132.476141,462.5918,23.5873,486.1791,900,0.00
17.9,29203.766931,465.9659,23.6172,489.5831,900,0.00
17.8,29190.187731,468.4851,23.6286,492.1137,900,0.00
17.7,29146.055338,470.0298,23.5819,493.6117,900,0.00
17.6,29146.055338,472.7596,23.5931,496.3527,900,0.00
17.5,29139.265740,475.4797,23.5927,499.0724,900,0.00
17.4,29146.055341,478.2330,23.6001,501.8331,900,0.00
17.3,29139.265740,480.8257,23.5869,504.4126,900,0.00
17.2,29139.265740,483.7307,23.5907,507.3214,900,0.00
17.1,29207.161732,486.9604,23.6033,510.5637,900,0.00
17.0,29227.530542,490.9361,23.6425,514.5786,900,0.00
16.9,29244.504530,493.2656,23.6302,516.8958,900,0.00
16.8,29319.190128,497.7372,23.7207,521.4579,900,0.00
16.7,29193.582535,498.6372,23.6309,522.2681,900,0.00
