Cycle_Time,Area,Dynamic_Power,Leakage_Power,Total_Power,Latency,Performance,,,,,,,,
35,30203.5354,252.0972,25.7624,277.8596,1000,293731.98,,,,,,,,
34.9,30212.0224,252.849,25.7735,278.6225,1000,293779.45,,,,,,,,
34.8,30212.0224,253.5756,25.7735,279.3491,1000,293701.6,,,,,,,,
34.7,30212.0224,254.3064,25.7735,280.0799,1000,293623.77,,,,,,,,
34.6,30212.0224,255.0414,25.7735,280.8149,1000,293545.92,,,,,,,,
34.5,30212.0224,255.7806,25.7735,281.5541,1000,293468,,,,,,,,
34.4,30212.0224,256.5242,25.7735,282.2977,1000,293390.18,,,,,,,,
34.3,30212.0224,257.2722,25.7735,283.0457,1000,293312.44,,,,,,,,
34.2,30222.2068,257.9585,25.7879,283.7464,1000,293280.13,,,,,,,,
34.1,30222.2068,258.715,25.7879,284.5029,1000,293202.22,,,,,,,,
34,30222.2068,259.4759,25.7879,285.2638,1000,293124.25,,,,,,,,
33.9,30222.2068,260.2413,25.787,286.0283,1000,293045.38,,,,,,,,
33.8,30222.2068,261.0112,25.787,286.7982,1000,292967.4,,,,,,,,
33.7,30222.2068,261.7857,25.787,287.5727,1000,292889.45,,,,,,,,
33.6,30222.2068,262.5649,25.7879,288.3528,1000,292812.51,,,,,,,,
33.5,30222.2068,263.3487,25.7879,289.1366,1000,292734.59,,,,,,,,
33.4,30222.2068,264.1371,25.7879,289.925,1000,292656.59,,,,,,,,
33.3,30222.2068,264.9303,25.7879,290.7182,1000,292578.65,,,,,,,,
33.2,30222.2068,265.7283,25.7879,291.5162,1000,292500.73,,,,,,,,
33.1,30222.2068,266.5311,25.7879,292.319,1000,292422.79,,,,,,,,
33,30222.2068,267.3388,25.7879,293.1267,1000,292344.88,,,,,,,,
32.9,30222.2068,268.1513,25.7879,293.9392,1000,292266.86,,,,,,,,
32.8,30222.2068,268.9689,25.7879,294.7568,1000,292188.99,,,,,,,,
32.7,30232.3912,269.7424,25.7153,295.4577,1000,292089.24,,,,,,,,
32.6,30232.3912,270.5699,25.7153,296.2852,1000,292011.57,,,,,,,,
32.5,30232.3912,271.4024,25.7153,297.1177,1000,291933.8,,,,,,,,
32.4,30232.3912,272.24,25.7153,297.9553,1000,291856,,,,,,,,
32.3,30232.3912,273.0828,25.7153,298.7981,1000,291778.21,,,,,,,,
32.2,30232.3912,273.9309,25.7153,299.6462,1000,291700.48,,,,,,,,
32.1,30232.3912,274.7844,25.7153,300.4997,1000,291622.87,,,,,,,,
32,30232.3912,275.643,25.7153,301.3583,1000,291545.02,,,,,,,,
31.9,30232.3912,276.5071,25.7153,302.2224,1000,291467.3,,,,,,,,
31.8,30232.3912,277.3766,25.7153,303.0919,1000,291389.53,,,,,,,,
31.7,30232.3912,278.2516,25.7153,303.9669,1000,291311.79,,,,,,,,
31.6,30232.3912,279.1322,25.7153,304.8475,1000,291234.1,,,,,,,,
31.5,30232.3912,280.0183,25.7153,305.7336,1000,291156.32,,,,,,,,
31.4,30245.97039,280.8504,25.7223,306.5727,1000,291159.29,,,,,,,,
31.3,30245.97039,281.7477,25.7223,307.47,1000,291081.5,,,,,,,,
31.2,30245.97039,282.6507,25.7223,308.373,1000,291003.67,,,,,,,,
31.1,30245.97039,283.5595,25.7223,309.2818,1000,290925.83,,,,,,,,
31,30245.97039,284.5205,25.725,310.2455,1000,290893.96,,,,,,,,
30.9,30245.97039,285.4413,25.725,311.1663,1000,290816.17,,,,,,,,
30.8,30245.97039,286.368,25.725,312.093,1000,290738.31,,,,,,,,
30.7,30245.97039,287.3008,25.725,313.0258,1000,290660.51,,,,,,,,
30.6,30245.97039,288.2394,25.725,313.9644,1000,290582.43,,,,,,,,
30.5,30245.97039,289.3292,25.733,315.0622,1000,290645.54,,,,,,,,
30.4,30245.97039,290.2734,25.733,316.0064,1000,290560.77,,,,,,,,
30.3,30245.97039,291.2314,25.733,316.9644,1000,290482.94,,,,,,,,
30.2,30245.97039,292.1957,25.733,317.9287,1000,290405.07,,,,,,,,
30.1,30245.97039,293.2094,25.7378,318.9472,1000,290370.71,,,,,,,,
30,30245.97039,294.1868,25.7378,319.9246,1000,290292.9,,,,,,,,
29.9,30245.97039,295.1707,25.7378,320.9085,1000,290215.05,,,,,,,,
29.8,30242.57559,295.9835,25.6981,321.6816,1000,289908.71,,,,,,,,
29.7,30242.57559,296.9801,25.6981,322.6782,1000,289831.01,,,,,,,,
29.6,30242.57559,297.9834,25.6981,323.6815,1000,289753.28,,,,,,,,
29.5,30242.57559,298.9935,25.6981,324.6916,1000,289675.55,,,,,,,,
29.4,30242.57559,300.0105,25.6981,325.7086,1000,289597.85,,,,,,,,
29.3,30242.57559,301.0786,25.7029,326.7815,1000,289563.53,,,,,,,,
29.2,30242.57559,302.1096,25.7029,327.8125,1000,289485.71,,,,,,,,
29.1,30242.57559,303.1478,25.7029,328.8507,1000,289408,,,,,,,,
29,30242.57559,304.1931,25.7029,329.896,1000,289330.24,,,,,,,,
28.9,30242.57559,305.2457,25.7042,330.9499,1000,289253.67,,,,,,,,
28.8,30242.57559,306.3037,25.7042,332.0079,1000,289174.29,,,,,,,,
28.7,30242.57559,307.371,25.7042,333.0752,1000,289096.59,,,,,,,,
28.6,30242.57559,308.4457,25.7042,334.1499,1000,289018.83,,,,,,,,
28.5,30259.54959,309.4798,25.7048,335.1846,1000,289062.25,,,,,,,,
28.4,30259.54959,310.5695,25.7048,336.2743,1000,288984.45,,,,,,,,
28.3,30259.54959,311.667,25.7048,337.3718,1000,288906.74,,,,,,,,
28.2,30259.54959,312.7738,25.7062,338.48,1000,288831.52,,,,,,,,
28.1,30259.54959,313.8868,25.7062,339.593,1000,288753.67,,,,,,,,
28,30259.54959,315.0062,25.7062,340.7124,1000,288674.51,,,,,,,,
27.9,30262.94439,316.1467,25.707,341.8537,1000,288639.44,,,,,,,,
27.8,30262.94439,317.2839,25.707,342.9909,1000,288561.62,,,,,,,,
27.7,30262.94439,318.4293,25.707,344.1363,1000,288483.8,,,,,,,,
27.6,30259.54959,319.5847,25.7155,345.3002,1000,288382.15,,,,,,,,
27.5,30262.94439,320.7448,25.7084,346.4532,1000,288329.08,,,,,,,,
27.4,30262.94439,321.9326,25.7177,347.6503,1000,288273.25,,,,,,,,
